City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,arkhangel'sk,64.5401,40.5433,22.12,97,100,1.74,RU,1699562128
224,badger,64.8,-147.5333,35.47,93,75,11.5,US,1699562130
225,margate,51.3813,1.3862,49.69,83,54,5.01,GB,1699562106
226,cochin,9.9399,76.2602,75.18,91,100,3.38,IN,1699562135
227,howrah,22.5892,88.3103,71.6,88,0,0.0,IN,1699562137
228,wedgefield,28.4878,-81.0773,85.19,54,17,7.87,US,1699562138
229,varna,43.2167,27.9167,45.28,93,0,3.44,BG,1699561874
230,chui,-33.6971,-53.4616,59.56,63,0,11.18,UY,1699562141
231,villa de soto,-30.8552,-64.9995,80.4,16,1,19.01,AR,1699562143
232,polyarnyy,69.1989,33.4478,22.35,89,91,13.62,RU,1699562144
233,vilyuysk,63.7553,121.6247,0.73,96,100,5.17,RU,1699562146
234,as sulayyil,20.4607,45.5779,71.85,33,82,8.12,SA,1699562148
235,carmen,18.6333,-91.8333,86.04,54,0,12.66,MX,1699562149
236,sinop,41.7711,34.8709,48.97,92,99,3.85,TR,1699562151
237,fada,9.5667,8.3,73.06,64,66,1.36,NG,1699562153
238,oxapampa,-10.5775,-75.4017,61.59,96,98,1.28,PE,1699562155
239,palekh,56.8028,41.8572,37.24,94,100,6.49,RU,1699562159
240,ta`u,-14.2336,-169.5144,80.65,83,100,9.57,AS,1699562162
241,remire-montjoly,4.9167,-52.2667,86.04,70,0,11.5,GF,1699562163
242,kattivakkam,13.2167,80.3167,82.08,83,100,11.68,IN,1699562165
243,fortaleza,-3.7227,-38.5247,85.06,63,0,19.57,BR,1699562096
244,tarko-sale,64.9225,77.785,20.73,88,96,20.29,RU,1699561936
245,new norfolk,-42.7826,147.0587,58.5,74,42,2.77,AU,1699562171
246,sao vicente,-23.9631,-46.3919,93.38,43,0,4.61,BR,1699562174
247,jwaneng,-24.6004,24.7303,76.28,31,3,7.74,BW,1699562176
248,el obeid,13.1842,30.2167,85.37,33,99,3.22,SD,1699562178
249,ilebo,-4.3167,20.5833,70.84,99,100,2.01,CD,1699562181
250,hamilton,39.1834,-84.5333,63.25,45,0,13.8,US,1699561930
251,nieuw nickerie,5.95,-56.9833,82.78,74,17,12.37,SR,1699562184
252,paraiba do sul,-22.1619,-43.2928,77.49,67,2,3.96,BR,1699562186
253,tual,-5.6667,132.75,81.27,80,42,7.11,ID,1699562187
254,towcester,52.1336,-0.9906,43.36,88,72,17.43,GB,1699562189
255,shaowu,27.3409,117.4831,67.48,99,100,1.63,CN,1699562190
256,buka,40.8108,69.1986,48.99,57,22,3.74,UZ,1699562192
257,cabo san lucas,22.8909,-109.9124,86.5,65,20,1.99,MX,1699562168
258,ghadamis,30.1337,9.5007,75.99,19,100,11.74,LY,1699562196
259,oruro,-17.9833,-67.15,59.49,44,40,17.27,BO,1699562198
260,santa marta,11.2408,-74.199,93.25,71,40,10.0,CO,1699562201
261,fort st. john,56.2499,-120.8529,33.69,75,75,8.05,CA,1699562202
262,kapuskasing,49.4169,-82.4331,30.29,100,100,6.91,CA,1699562204
263,hood river,45.7054,-121.5215,50.9,83,40,0.0,US,1699562206
264,boa vista,2.8197,-60.6733,94.98,46,40,10.36,BR,1699562208
265,east london,-33.0153,27.9116,62.98,84,2,6.17,ZA,1699562209
266,gustavsberg,59.3268,18.3898,46.29,96,100,15.77,SE,1699562211
267,imbituba,-28.24,-48.6703,71.91,96,100,7.27,BR,1699562213
268,huarmey,-10.0681,-78.1522,71.01,74,43,9.91,PE,1699562214
269,gebeit,21.0667,36.3167,75.31,51,16,5.32,SD,1699562216
270,bichura,50.5881,107.6022,4.86,89,76,3.76,RU,1699562218
271,partapur,23.6,74.1667,75.69,40,6,3.06,IN,1699562220
272,masterton,-40.9597,175.6575,55.89,60,96,6.35,NZ,1699562223
273,mohr,54.3528,9.7167,45.14,93,75,8.05,DE,1699562225
274,vorgashor,67.5833,63.95,30.02,95,100,12.41,RU,1699562227
275,villamontes,-21.25,-63.5,96.24,38,39,5.75,BO,1699562229
276,tacuarembo,-31.7333,-55.9833,70.63,62,0,12.3,UY,1699562232
277,weno,7.4515,151.8468,78.75,100,100,12.66,FM,1699562234
278,santo antonio dos olivais,40.2082,-8.401,57.15,88,100,1.95,PT,1699562235
279,camacupa,-12.0167,17.4833,63.97,93,95,4.5,AO,1699562237
280,plesetsk,62.708,40.2916,30.15,78,100,1.03,RU,1699562238
